,Value
2000-07-31,48.81
2000-08-31,53.64
2000-09-29,64.5
2000-10-31,67.81
2000-11-30,69.06
2000-12-29,66.0
2001-01-31,58.5
2001-02-28,62.2
2001-03-30,55.71
2001-04-30,61.8
2001-05-31,62.89
2001-06-29,55.6
2001-07-31,58.53
2001-08-31,51.2
2001-09-28,33.5
2001-10-31,32.6
2001-11-30,35.1
2001-12-31,38.78
2002-01-31,40.95
2002-02-28,45.96
2002-03-28,48.25
2002-04-30,44.6
2002-05-31,42.65
2002-06-28,45.0
2002-07-31,41.52
2002-08-30,37.07
2002-09-30,34.13
2002-10-31,29.75
2002-11-29,34.05
2002-12-31,32.99
2003-01-31,31.59
2003-02-28,27.56
2003-03-31,25.06
2003-04-30,27.28
2003-05-30,30.67
2003-06-30,34.32
2003-07-31,33.12
2003-08-29,37.39
2003-09-30,34.33
2003-10-31,38.49
2003-11-28,38.39
2003-12-31,42.14
2004-01-30,41.75
2004-02-27,43.37
2004-03-31,41.07
2004-04-30,42.69
2004-05-28,45.8
2004-06-30,51.09
2004-07-30,50.75
2004-08-31,52.22
2004-09-30,51.62
2004-10-29,49.9
2004-11-30,53.57
2004-12-31,51.77
2005-01-31,50.6
2005-02-28,54.97
2005-03-31,58.46
2005-04-29,59.52
2005-05-31,63.9
2005-06-30,66.0
2005-07-29,66.01
2005-08-31,67.02
2005-09-30,67.95
2005-10-31,64.64
2005-11-30,68.19
2005-12-30,70.24
2006-01-31,68.31
2006-02-28,72.69
2006-03-31,77.93
2006-04-28,83.45
2006-05-31,83.25
2006-06-30,81.91
2006-07-31,77.42
2006-08-31,74.9
2006-09-29,78.85
2006-10-31,79.86
2006-11-30,88.53
2006-12-29,88.84
2007-01-31,89.56
2007-02-28,87.26
2007-03-30,88.91
2007-04-30,93.0
2007-05-31,100.59
2007-06-29,96.16
2007-07-31,103.43
2007-08-31,96.7
2007-09-28,104.99
2007-10-31,98.59
2007-11-30,92.54
2007-12-31,87.46
2008-01-31,83.18
2008-02-29,82.79
2008-03-31,74.37
2008-04-30,84.86
2008-05-30,82.77
2008-06-30,65.72
2008-07-31,61.11
2008-08-29,65.56
2008-09-30,57.35
2008-10-31,52.42
2008-11-28,42.63
2008-12-31,42.67
2009-01-30,42.31
2009-02-27,31.44
2009-03-31,35.58
2009-04-30,40.05
2009-05-29,44.85
2009-06-30,42.5
2009-07-31,42.91
2009-08-31,49.67
2009-09-30,54.15
2009-10-30,47.8
2009-11-30,52.41
2009-12-31,54.13
2010-01-29,60.6
2010-02-26,63.16
2010-03-31,72.61
2010-04-30,72.43
2010-05-28,64.18
2010-06-30,62.75
2010-07-30,68.14
2010-08-31,61.13
2010-09-30,66.54
2010-10-29,70.64
2010-11-30,63.77
2010-12-31,65.26
2011-01-31,69.48
2011-02-28,72.01
2011-03-31,73.93
2011-04-29,79.78
2011-05-31,78.03
2011-06-30,73.93
2011-07-29,70.47
2011-08-31,66.86
2011-09-30,60.51
2011-10-31,65.79
2011-11-30,68.69
2011-12-30,73.35
2012-01-31,74.18
2012-02-29,74.95
2012-03-30,74.37
2012-04-30,76.8
2012-05-31,69.61
2012-06-29,74.3
2012-07-31,73.91
2012-08-31,71.4
2012-09-28,69.595
2012-10-31,70.44
2012-11-30,74.28
2012-12-31,75.36
2013-01-31,73.87
2013-02-28,76.9
2013-03-28,85.85
2013-04-30,91.41
2013-05-31,99.02
2013-06-28,102.44
2013-07-31,105.1
2013-08-30,103.92
2013-09-30,117.5
2013-10-31,130.5
2013-11-29,134.25
2013-12-31,136.49
2014-01-31,125.26
2014-02-28,128.92
2014-03-31,125.49
2014-04-30,129.02
2014-05-30,135.25
2014-06-30,127.23
2014-07-31,120.48
2014-08-29,126.8
2014-09-30,127.38
2014-10-31,124.91
2014-11-28,134.36
2014-12-31,129.98
2015-01-30,145.37
2015-02-27,150.85
2015-03-31,150.08
2015-04-30,143.34
2015-05-29,140.52
2015-06-30,138.72
2015-07-31,144.17
2015-08-31,130.68
2015-09-30,130.95
2015-10-30,148.07
2015-11-30,145.45
2015-12-31,144.59
2016-01-29,120.13
2016-02-29,118.18
2016-03-31,126.94
2016-04-29,134.8
2016-05-31,126.15
2016-06-30,129.87
2016-07-29,133.66
2016-08-31,129.45
2016-09-30,131.74
2016-10-31,142.43
2016-11-30,150.56
2016-12-30,155.68
2017-01-31,163.42
2017-02-28,180.23
2017-03-31,176.86
2017-04-28,184.83
2017-05-31,187.63
2017-06-30,197.75
2017-07-31,242.46
2017-08-31,239.66
2017-09-29,254.21
2017-10-31,257.98
2017-11-30,276.8
2017-12-29,294.91
2018-01-31,354.37
2018-02-28,362.21
2018-03-29,327.88
2018-04-30,333.56
2018-05-31,352.16
2018-06-29,335.51
2018-07-31,356.3
2018-08-31,342.79
2018-09-28,371.9
2018-10-31,354.86
2018-11-30,346.76
2018-12-31,322.5
2019-01-31,385.62
2019-02-28,439.96
2019-03-29,381.42
2019-04-30,377.69
2019-05-31,341.61
2019-06-28,364.01
2019-07-31,341.18
2019-08-30,364.09
2019-09-30,380.47
2019-10-31,339.91
2019-11-29,366.18
2019-12-31,325.76
2020-01-31,318.27
2020-02-28,275.11
2020-03-31,149.14
2020-04-30,141.02
2020-05-29,145.85
2020-06-12,189.51
