,Value
2014-10-31,98.6
2014-11-28,111.64
2014-12-31,103.94
2015-01-30,89.08
2015-02-27,85.12
2015-03-31,83.24
2015-04-30,81.29
2015-05-29,89.32
2015-06-30,82.27
2015-07-31,78.34
2015-08-31,66.12
2015-09-30,58.97
2015-10-30,83.83
2015-11-30,84.08
2015-12-31,81.27
2016-01-29,67.03
2016-02-29,68.81
2016-03-31,79.03
2016-04-29,76.94
2016-05-31,82.0
2016-06-30,79.53
2016-07-29,82.48
2016-08-31,97.19
2016-09-30,105.79
2016-10-31,101.69
2016-11-30,94.02
2016-12-30,87.81
2017-01-31,101.31
2017-02-28,102.9
2017-03-31,107.83
2017-04-28,115.5
2017-05-31,122.46
2017-06-30,140.9
2017-07-31,154.95
2017-08-31,171.74
2017-09-29,172.71
2017-10-31,184.89
2017-11-30,177.08
2017-12-29,172.43
2018-01-31,204.29
2018-02-28,186.14
2018-03-29,183.54
2018-04-30,178.54
2018-05-31,198.01
2018-06-29,185.53
2018-07-31,187.23
2018-08-31,175.01
2018-09-28,164.76
2018-10-31,142.28
2018-11-30,160.86
2018-12-31,137.07
2019-01-31,168.49
2019-02-28,183.03
2019-03-29,182.45
2019-04-30,185.57
2019-05-31,149.26
2019-06-28,169.45
2019-07-31,173.11
2019-08-30,175.03
2019-09-30,167.23
2019-10-31,176.67
2019-11-29,200.0
2019-12-31,212.1
2020-01-31,206.59
2020-02-28,208.0
2020-03-31,194.48
2020-04-30,202.67
2020-05-29,207.39
2020-06-12,217.64
