,Value
2000-07-31,47.38
2000-08-31,53.58
2000-09-29,52.38
2000-10-31,48.06
2000-11-30,39.94
2000-12-29,45.88
2001-01-31,53.82
2001-02-28,50.7
2001-03-30,54.75
2001-04-30,56.0
2001-05-31,59.25
2001-06-29,60.03
2001-07-31,63.62
2001-08-31,61.5
2001-09-28,58.4
2001-10-31,58.99
2001-11-30,61.38
2001-12-31,62.95
2002-01-31,63.03
2002-02-28,63.95
2002-03-28,68.02
2002-04-30,72.48
2002-05-31,75.81
2002-06-28,70.36
2002-07-31,66.5
2002-08-30,70.08
2002-09-30,63.8
2002-10-31,69.8
2002-11-29,70.08
2002-12-31,69.57
2003-01-31,70.05
2003-02-28,69.24
2003-03-31,66.84
2003-04-30,74.05
2003-05-30,74.2
2003-06-30,79.03
2003-07-31,82.57
2003-08-29,79.25
2003-09-30,78.04
2003-10-31,75.73
2003-11-28,75.43
2003-12-31,80.43
2004-01-30,81.46
2004-02-27,81.92
2004-03-31,80.98
2004-04-30,80.49
2004-05-28,83.13
2004-06-30,84.62
2004-07-30,85.01
2004-08-31,44.98
2004-09-30,43.33
2004-10-29,44.79
2004-11-30,46.27
2004-12-31,46.99
2005-01-31,46.37
2005-02-28,46.65
2005-03-31,44.1
2005-04-29,45.04
2005-05-31,46.32
2005-06-30,45.61
2005-07-29,43.6
2005-08-31,43.03
2005-09-30,42.1
2005-10-31,43.74
2005-11-30,45.89
2005-12-30,46.15
2006-01-31,44.23
2006-02-28,45.85
2006-03-31,45.54
2006-04-28,49.92
2006-05-31,48.4
2006-06-30,48.1
2006-07-31,51.53
2006-08-31,51.47
2006-09-29,53.57
2006-10-31,53.87
2006-11-30,53.85
2006-12-29,53.39
2007-01-31,52.58
2007-02-28,50.83
2007-03-30,51.02
2007-04-30,50.9
2007-05-31,50.71
2007-06-29,48.89
2007-07-31,47.42
2007-08-31,50.68
2007-09-28,50.27
2007-10-31,48.28
2007-11-30,46.13
2007-12-31,41.26
2008-01-31,44.15
2008-02-29,39.74
2008-03-31,37.91
2008-04-30,37.54
2008-05-30,34.01
2008-06-30,23.87
2008-07-31,32.9
2008-08-29,31.14
2008-09-30,35.0
2008-10-31,24.17
2008-11-28,16.25
2008-12-31,14.08
2009-01-30,6.58
2009-02-27,3.95
2009-03-31,6.82
2009-04-30,8.93
2009-05-29,11.27
2009-06-30,13.2
2009-07-31,14.79
2009-08-31,17.59
2009-09-30,16.92
2009-10-30,14.58
2009-11-30,15.85
2009-12-31,15.06
2010-01-29,15.18
2010-02-26,16.66
2010-03-31,17.85
2010-04-30,17.83
2010-05-28,15.74
2010-06-30,14.37
2010-07-30,14.04
2010-08-31,12.46
2010-09-30,13.1025
2010-10-29,11.449
2010-11-30,11.31
2010-12-31,13.34
2011-01-31,13.73
2011-02-28,14.29
2011-03-31,13.33
2011-04-29,12.28
2011-05-31,11.75
2011-06-30,10.96
2011-07-29,9.71
2011-08-31,8.17
2011-09-30,6.12
2011-10-31,6.83
2011-11-30,5.44
2011-12-30,5.56
2012-01-31,7.13
2012-02-29,7.97
2012-03-30,9.57
2012-04-30,8.11
2012-05-31,7.35
2012-06-29,8.18
2012-07-31,7.34
2012-08-31,7.99
2012-09-28,8.83
2012-10-31,9.32
2012-11-30,9.86
2012-12-31,11.61
2013-01-31,11.32
2013-02-28,11.23
2013-03-28,12.18
2013-04-30,12.31
2013-05-31,13.66
2013-06-28,12.86
2013-07-31,14.6
2013-08-30,14.12
2013-09-30,13.8
2013-10-31,13.97
2013-11-29,15.82
2013-12-31,15.57
2014-01-31,16.75
2014-02-28,16.53
2014-03-31,17.2
2014-04-30,15.14
2014-05-30,15.14
2014-06-30,15.37
2014-07-31,15.25
2014-08-29,16.09
2014-09-30,17.05
2014-10-31,17.16
2014-11-28,17.04
2014-12-31,17.89
2015-01-30,15.15
2015-02-27,15.81
2015-03-31,15.39
2015-04-30,15.93
2015-05-29,16.5
2015-06-30,17.02
2015-07-31,17.88
2015-08-31,16.34
2015-09-30,15.58
2015-10-30,16.78
2015-11-30,17.43
2015-12-31,16.83
2016-01-29,14.14
2016-02-29,12.52
2016-03-31,13.52
2016-04-29,14.56
2016-05-31,14.8
2016-06-30,13.27
2016-07-29,14.49
2016-08-31,16.14
2016-09-30,15.65
2016-10-31,16.5
2016-11-30,21.12
2016-12-30,22.1
2017-01-31,22.64
2017-02-28,24.68
2017-03-31,23.59
2017-04-28,23.34
2017-05-31,22.41
2017-06-30,24.26
2017-07-31,24.12
2017-08-31,23.89
2017-09-29,25.34
2017-10-31,27.39
2017-11-30,28.17
2017-12-29,29.52
2018-01-31,32.0
2018-02-28,32.1
2018-03-29,29.99
2018-04-30,29.92
2018-05-31,29.04
2018-06-29,28.19
2018-07-31,30.88
2018-08-31,30.93
2018-09-28,29.46
2018-10-31,27.5
2018-11-30,28.4
2018-12-31,24.64
2019-01-31,28.47
2019-02-28,29.08
2019-03-29,27.59
2019-04-30,30.58
2019-05-31,26.6
2019-06-28,29.0
2019-07-31,30.68
2019-08-30,27.51
2019-09-30,29.17
2019-10-31,31.27
2019-11-29,33.32
2019-12-31,35.22
2020-01-31,32.83
2020-02-28,28.5
2020-03-31,21.23
2020-04-30,24.05
2020-05-29,24.12
2020-06-12,24.78
