,Value
2000-07-31,78.98
2000-08-31,84.52
2000-09-29,85.25
2000-10-31,82.13
2000-11-30,81.88
2000-12-29,84.44
2001-01-31,83.28
2001-02-28,85.66
2001-03-30,87.8
2001-04-30,96.56
2001-05-31,96.05
2001-06-29,90.5
2001-07-31,91.39
2001-08-31,90.75
2001-09-28,84.75
2001-10-31,88.55
2001-11-30,85.01
2001-12-31,89.61
2002-01-31,83.8
2002-02-28,84.44
2002-03-28,90.27
2002-04-30,86.71
2002-05-31,87.25
2002-06-28,88.5
2002-07-31,75.0
2002-08-30,76.63
2002-09-30,69.25
2002-10-31,67.63
2002-11-29,67.03
2002-12-31,66.48
2003-01-31,64.4
2003-02-28,64.17
2003-03-31,64.65
2003-04-30,62.81
2003-05-30,70.94
2003-06-30,72.2
2003-07-31,72.11
2003-08-29,72.87
2003-09-30,71.45
2003-10-31,74.3
2003-11-28,75.1
2003-12-31,86.39
2004-01-30,86.35
2004-02-27,88.35
2004-03-31,87.78
2004-04-30,91.5
2004-05-28,90.4
2004-06-30,94.11
2004-07-30,95.65
2004-08-31,97.5
2004-09-30,53.64
2004-10-29,53.06
2004-11-30,54.6
2004-12-31,52.51
2005-01-31,54.4
2005-02-28,62.08
2005-03-31,58.31
2005-04-29,52.0
2005-05-31,53.78
2005-06-30,55.92
2005-07-29,58.01
2005-08-31,61.4
2005-09-30,64.73
2005-10-31,57.07
2005-11-30,57.31
2005-12-30,56.77
2006-01-31,59.38
2006-02-28,56.48
2006-03-31,57.97
2006-04-28,61.02
2006-05-31,59.79
2006-06-30,62.06
2006-07-31,65.78
2006-08-31,64.4
2006-09-29,64.86
2006-10-31,67.2
2006-11-30,72.32
2006-12-29,73.53
2007-01-31,72.88
2007-02-28,68.52
2007-03-30,73.96
2007-04-30,77.79
2007-05-31,81.49
2007-06-29,84.24
2007-07-31,85.26
2007-08-31,87.76
2007-09-28,93.58
2007-10-31,91.51
2007-11-30,87.77
2007-12-31,93.33
2008-01-31,83.25
2008-02-29,86.66
2008-03-31,85.36
2008-04-30,96.15
2008-05-30,99.15
2008-06-30,99.13
2008-07-31,84.56
2008-08-29,86.32
2008-09-30,82.48
2008-10-31,74.6
2008-11-28,79.01
2008-12-31,73.97
2009-01-30,70.52
2009-02-27,60.71
2009-03-31,67.24
2009-04-30,66.1
2009-05-29,66.67
2009-06-30,66.25
2009-07-31,69.47
2009-08-31,69.94
2009-09-30,70.43
2009-10-30,76.54
2009-11-30,78.04
2009-12-31,76.99
2010-01-29,72.12
2010-02-26,72.3
2010-03-31,75.83
2010-04-30,81.44
2010-05-28,73.87
2010-06-30,67.86
2010-07-30,76.21
2010-08-31,74.08
2010-09-30,81.05
2010-10-29,82.6
2010-11-30,80.97
2010-12-31,91.25
2011-01-31,94.93
2011-02-28,103.75
2011-03-31,107.49
2011-04-29,109.44
2011-05-31,104.91
2011-06-30,102.84
2011-07-29,104.02
2011-08-31,98.84
2011-09-30,92.59
2011-10-31,105.05
2011-11-30,102.82
2011-12-30,106.4
2012-01-31,103.12
2012-02-29,109.12
2012-03-30,107.21
2012-04-30,106.56
2012-05-31,98.31
2012-06-29,105.5
2012-07-31,109.58
2012-08-31,112.16
2012-09-28,116.56
2012-10-31,110.2407
2012-11-30,105.69
2012-12-31,108.14
2013-01-31,115.15
2013-02-28,117.15
2013-03-28,118.82
2013-04-30,122.01
2013-05-31,122.75
2013-06-28,118.34
2013-07-31,125.89
2013-08-30,120.43
2013-09-30,121.5
2013-10-31,119.96
2013-11-29,122.44
2013-12-31,124.91
2014-01-31,111.63
2014-02-28,115.33
2014-03-31,118.91
2014-04-30,125.52
2014-05-30,122.79
2014-06-30,130.55
2014-07-31,129.24
2014-08-29,129.45
2014-09-30,119.32
2014-10-31,119.95
2014-11-28,108.87
2014-12-31,112.18
2015-01-30,102.53
2015-02-27,106.68
2015-03-31,104.98
2015-04-30,111.06
2015-05-29,103.0
2015-06-30,96.47
2015-07-31,88.48
2015-08-31,80.99
2015-09-30,78.88
2015-10-30,90.88
2015-11-30,91.32
2015-12-31,89.96
2016-01-29,86.47
2016-02-29,83.44
2016-03-31,95.4
2016-04-29,102.18
2016-05-31,101.0
2016-06-30,104.83
2016-07-29,102.48
2016-08-31,100.58
2016-09-30,102.92
2016-10-31,104.75
2016-11-30,111.56
2016-12-30,117.7
2017-01-31,111.35
2017-02-28,112.5
2017-03-31,107.37
2017-04-28,106.7
2017-05-31,103.48
2017-06-30,104.33
2017-07-31,109.19
2017-08-31,107.62
2017-09-29,117.5
2017-10-31,115.89
2017-11-30,118.99
2017-12-29,125.19
2018-01-31,125.35
2018-02-28,111.92
2018-03-29,114.04
2018-04-30,125.11
2018-05-31,124.3
2018-06-29,126.43
2018-07-31,126.27
2018-08-31,118.46
2018-09-28,122.28
2018-10-31,111.65
2018-11-30,118.94
2018-12-31,108.79
2019-01-31,114.65
2019-02-28,119.58
2019-03-29,123.18
2019-04-30,120.06
2019-05-31,113.85
2019-06-28,124.44
2019-07-31,123.11
2019-08-30,117.72
2019-09-30,118.6
2019-10-31,116.14
2019-11-29,117.13
2019-12-31,120.51
2020-01-31,107.14
2020-02-28,93.34
2020-03-31,72.46
2020-04-30,92.0
2020-05-29,91.7
2020-06-12,92.39
