,Value
2000-07-31,50.0
2000-08-31,62.0
2000-09-29,68.69
2000-10-31,51.5
2000-11-30,34.31
2000-12-29,33.0
2001-01-31,49.38
2001-02-28,38.33
2001-03-30,36.19
2001-04-30,50.48
2001-05-31,60.52
2001-06-29,68.49
2001-07-31,62.57
2001-08-31,56.23
2001-09-28,45.75
2001-10-31,52.48
2001-11-30,68.07
2001-12-31,66.9
2002-01-31,59.02
2002-02-28,52.05
2002-03-28,56.64
2002-04-30,53.1
2002-05-31,55.21
2002-06-28,61.62
2002-07-31,57.09
2002-08-30,56.52
2002-09-30,52.81
2002-10-31,63.24
2002-11-29,68.92
2002-12-31,67.82
2003-01-31,75.16
2003-02-28,78.42
2003-03-31,85.31
2003-04-30,92.91
2003-05-30,101.65
2003-06-30,104.0
2003-07-31,107.3
2003-08-29,55.41
2003-09-30,53.64
2003-10-31,55.93
2003-11-28,55.89
2003-12-31,64.61
2004-01-30,66.93
2004-02-27,68.7
2004-03-31,69.28
2004-04-30,80.03
2004-05-28,88.8
2004-06-30,91.95
2004-07-30,78.33
2004-08-31,86.54
2004-09-30,91.94
2004-10-29,97.63
2004-11-30,112.3
2004-12-31,116.34
2005-01-31,81.5
2005-02-28,42.84
2005-03-31,37.26
2005-04-29,31.71
2005-05-31,38.0
2005-06-30,33.01
2005-07-29,41.78
2005-08-31,40.49
2005-09-30,41.2
2005-10-31,39.61
2005-11-30,44.81
2005-12-30,43.22
2006-01-31,43.1
2006-02-28,40.06
2006-03-31,39.0
2006-04-28,34.41
2006-05-31,32.81
2006-06-30,29.29
2006-07-31,24.07
2006-08-31,27.82
2006-09-29,28.36
2006-10-31,32.13
2006-11-30,32.34
2006-12-29,30.07
2007-01-31,32.39
2007-02-28,32.06
2007-03-30,33.15
2007-04-30,33.94
2007-05-31,32.56
2007-06-29,32.18
2007-07-31,32.4
2007-08-31,34.1
2007-09-28,39.02
2007-10-31,36.1
2007-11-30,33.53
2007-12-31,33.19
2008-01-31,26.89
2008-02-29,26.36
2008-03-31,29.84
2008-04-30,31.29
2008-05-30,30.01
2008-06-30,27.33
2008-07-31,25.17
2008-08-29,24.93
2008-09-30,22.38
2008-10-31,15.27
2008-11-28,13.13
2008-12-31,13.96
2009-01-30,12.02
2009-02-27,10.87
2009-03-31,12.56
2009-04-30,16.47
2009-05-29,17.62
2009-06-30,17.13
2009-07-31,21.25
2009-08-31,22.14
2009-09-30,23.6
2009-10-30,22.27
2009-11-30,24.47
2009-12-31,23.53
2010-01-29,23.02
2010-02-26,23.02
2010-03-31,26.9675
2010-04-30,23.78
2010-05-28,21.41
2010-06-30,19.61
2010-07-30,20.91
2010-08-31,23.23
2010-09-30,24.4
2010-10-29,29.86
2010-11-30,29.14
2010-12-31,27.83
2011-01-31,30.36
2011-02-28,33.505
2011-03-31,31.04
2011-04-29,34.39
2011-05-31,31.17
2011-06-30,32.27
2011-07-29,32.75
2011-08-31,30.87
2011-09-30,29.49
2011-10-31,31.83
2011-11-30,29.59
2011-12-30,30.33
2012-01-31,31.595
2012-02-29,35.74
2012-03-30,36.9
2012-04-30,41.02
2012-05-31,39.19
2012-06-29,42.01
2012-07-31,44.3
2012-08-31,47.47
2012-09-28,48.37
2012-10-31,48.26
2012-11-30,52.82
2012-12-31,50.9977
2013-01-31,55.97
2013-02-28,54.71
2013-03-28,54.22
2013-04-30,52.39
2013-05-31,54.1
2013-06-28,51.72
2013-07-31,51.69
2013-08-30,49.99
2013-09-30,55.795
2013-10-31,52.71
2013-11-29,50.52
2013-12-31,54.865
2014-01-31,53.2
2014-02-28,58.77
2014-03-31,55.24
2014-04-30,51.83
2014-05-30,50.73
2014-06-30,50.06
2014-07-31,52.83
2014-08-29,55.5
2014-09-30,56.63
2014-10-31,52.5
2014-11-28,54.88
2014-12-31,56.12
2015-01-30,53.0
2015-02-27,57.91
2015-03-31,57.68
2015-04-30,58.26
2015-05-29,61.36
2015-06-30,60.24
2015-07-31,28.12
2015-08-31,27.11
2015-09-30,24.44
2015-10-30,27.9
2015-11-30,29.59
2015-12-31,27.48
2016-01-29,23.46
2016-02-29,23.8
2016-03-31,23.86
2016-04-29,24.43
2016-05-31,24.46
2016-06-30,23.41
2016-07-29,31.16
2016-08-31,32.16
2016-09-30,32.9
2016-10-31,28.51
2016-11-30,27.81
2016-12-30,29.69
2017-01-31,31.83
2017-02-28,33.9
2017-03-31,33.57
2017-04-28,33.41
2017-05-31,34.3
2017-06-30,34.92
2017-07-31,35.73
2017-08-31,36.13
2017-09-29,38.46
2017-10-31,37.64
2017-11-30,34.67
2017-12-29,37.74
2018-01-31,40.58
2018-02-28,42.86
2018-03-29,40.24
2018-04-30,37.88
2018-05-31,37.72
2018-06-29,36.26
2018-07-31,33.45
2018-08-31,34.61
2018-09-28,33.02
2018-10-31,29.03
2018-11-30,29.85
2018-12-31,28.07
2019-01-31,33.65
2019-02-28,37.15
2019-03-29,37.14
2019-04-30,38.75
2019-05-31,35.93
2019-06-28,39.5
2019-07-31,41.19
2019-08-30,40.29
2019-09-30,38.98
2019-10-31,35.25
2019-11-29,35.52
2019-12-31,36.11
2020-01-31,33.56
2020-02-28,34.64
2020-03-31,30.06
2020-04-30,39.83
2020-05-29,45.54
2020-06-12,47.66
