,Value
2000-07-31,93.06
2000-08-31,91.96
2000-09-29,93.94
2000-10-31,92.13
2000-11-30,100.0
2000-12-29,105.1
2001-01-31,93.13
2001-02-28,97.33
2001-03-30,87.47
2001-04-30,96.48
2001-05-31,96.95
2001-06-29,49.96
2001-07-31,54.1
2001-08-31,52.71
2001-09-28,55.4
2001-10-31,57.91
2001-11-30,58.25
2001-12-31,59.1
2002-01-31,57.51
2002-02-28,60.9
2002-03-28,64.95
2002-04-30,63.86
2002-05-31,61.35
2002-06-28,52.26
2002-07-31,53.0
2002-08-30,54.31
2002-09-30,54.08
2002-10-31,58.75
2002-11-29,57.02
2002-12-31,53.71
2003-01-31,53.61
2003-02-28,52.45
2003-03-31,57.87
2003-04-30,56.36
2003-05-30,54.35
2003-06-30,51.7
2003-07-31,51.79
2003-08-29,49.58
2003-09-30,49.52
2003-10-31,50.33
2003-11-28,49.3
2003-12-31,51.66
2004-01-30,53.42
2004-02-27,53.91
2004-03-31,50.72
2004-04-30,54.03
2004-05-28,55.71
2004-06-30,55.7
2004-07-30,55.27
2004-08-31,58.1
2004-09-30,56.33
2004-10-29,58.38
2004-11-30,60.32
2004-12-31,63.42
2005-01-31,64.7
2005-02-28,65.6
2005-03-31,67.16
2005-04-29,68.63
2005-05-31,67.1
2005-06-30,65.0
2005-07-29,63.96
2005-08-31,63.39
2005-09-30,63.28
2005-10-31,62.62
2005-11-30,61.75
2005-12-30,60.1
2006-01-31,57.54
2006-02-28,57.65
2006-03-31,59.22
2006-04-28,58.61
2006-05-31,60.22
2006-06-30,59.92
2006-07-31,62.55
2006-08-31,64.66
2006-09-29,64.94
2006-10-31,67.4
2006-11-30,65.91
2006-12-29,66.02
2007-01-31,66.8
2007-02-28,62.93
2007-03-30,60.26
2007-04-30,64.22
2007-05-31,63.27
2007-06-29,61.62
2007-07-31,60.5
2007-08-31,61.79
2007-09-28,65.7
2007-10-31,65.17
2007-11-30,67.74
2007-12-31,66.7
2008-01-31,63.14
2008-02-29,61.96
2008-03-31,64.87
2008-04-30,67.09
2008-05-30,66.74
2008-06-30,64.34
2008-07-31,68.47
2008-08-29,70.43
2008-09-30,69.28
2008-10-31,61.34
2008-11-28,58.58
2008-12-31,59.83
2009-01-30,57.69
2009-02-27,50.0
2009-03-31,52.6
2009-04-30,52.36
2009-05-29,55.16
2009-06-30,56.8
2009-07-31,60.89
2009-08-31,60.44
2009-09-30,60.89
2009-10-30,59.05
2009-11-30,62.84
2009-12-31,64.41
2010-01-29,62.86
2010-02-26,63.0
2010-03-31,65.2
2010-04-30,64.3
2010-05-28,58.3
2010-06-30,59.06
2010-07-30,58.09
2010-08-31,57.02
2010-09-30,61.96
2010-10-29,63.74
2010-11-30,61.55
2010-12-31,61.85
2011-01-31,59.77
2011-02-28,61.44
2011-03-31,59.25
2011-04-29,65.72
2011-05-31,67.29
2011-06-30,66.52
2011-07-29,64.79
2011-08-31,65.8
2011-09-30,63.69
2011-10-31,64.39
2011-11-30,64.72
2011-12-30,65.58
2012-01-31,65.91
2012-02-29,65.08
2012-03-30,65.96
2012-04-30,65.1
2012-05-31,62.43
2012-06-29,67.56
2012-07-31,69.22
2012-08-31,67.43
2012-09-28,68.91
2012-10-31,70.82
2012-11-30,69.73
2012-12-31,70.1
2013-01-31,73.92
2013-02-28,76.11
2013-03-28,81.53
2013-04-30,85.23
2013-05-31,84.18
2013-06-28,85.86
2013-07-31,93.5
2013-08-30,86.41
2013-09-30,86.69
2013-10-31,92.61
2013-11-29,94.66
2013-12-31,91.59
2014-01-31,88.47
2014-02-28,92.12
2014-03-31,98.23
2014-04-30,101.29
2014-05-30,101.46
2014-06-30,104.62
2014-07-31,100.09
2014-08-29,103.73
2014-09-30,106.59
2014-10-31,107.78
2014-11-28,108.25
2014-12-31,104.57
2015-01-30,100.14
2015-02-27,102.51
2015-03-31,100.6
2015-04-30,99.2
2015-05-29,100.14
2015-06-30,97.46
2015-07-31,100.21
2015-08-31,93.98
2015-09-30,93.35
2015-10-30,101.03
2015-11-30,101.24
2015-12-31,102.72
2016-01-29,104.44
2016-02-29,105.21
2016-03-31,108.2
2016-04-29,112.08
2016-05-31,112.69
2016-06-30,121.3
2016-07-29,125.23
2016-08-31,119.34
2016-09-30,118.13
2016-10-31,115.99
2016-11-30,111.3
2016-12-30,115.21
2017-01-31,113.25
2017-02-28,122.21
2017-03-31,124.55
2017-04-28,123.47
2017-05-31,128.25
2017-06-30,132.29
2017-07-31,132.72
2017-08-31,132.37
2017-09-29,130.01
2017-10-31,139.41
2017-11-30,139.33
2017-12-29,139.72
2018-01-31,138.19
2018-02-28,129.88
2018-03-29,128.15
2018-04-30,126.49
2018-05-31,119.62
2018-06-29,121.34
2018-07-31,132.52
2018-08-31,134.69
2018-09-28,138.17
2018-10-31,139.99
2018-11-30,146.9
2018-12-31,129.05
2019-01-31,133.08
2019-02-28,136.64
2019-03-29,139.79
2019-04-30,141.2
2019-05-31,131.15
2019-06-28,139.28
2019-07-31,130.22
2019-08-30,128.36
2019-09-30,129.38
2019-10-31,132.04
2019-11-29,137.49
2019-12-31,145.87
2020-01-31,148.87
2020-02-28,134.48
2020-03-31,131.13
2020-04-30,150.04
2020-05-29,148.75
2020-06-12,142.15
