,Value
2000-07-31,69.81
2000-08-31,69.81
2000-09-29,60.31
2000-10-31,68.87
2000-11-30,57.38
2000-12-29,43.38
2001-01-31,61.06
2001-02-28,59.0
2001-03-30,54.69
2001-04-30,67.75
2001-05-31,69.18
2001-06-29,73.0
2001-07-31,66.19
2001-08-31,57.05
2001-09-28,51.17
2001-10-31,58.15
2001-11-30,64.21
2001-12-31,66.25
2002-01-31,63.71
2002-02-28,58.34
2002-03-28,60.31
2002-04-30,52.26
2002-05-31,50.91
2002-06-28,54.7
2002-07-31,47.98
2002-08-30,49.08
2002-09-30,43.74
2002-10-31,53.47
2002-11-29,57.68
2002-12-31,51.7
2003-01-31,47.46
2003-02-28,23.7
2003-03-31,24.21
2003-04-30,25.57
2003-05-30,24.61
2003-06-30,25.64
2003-07-31,26.41
2003-08-29,26.52
2003-09-30,27.8
2003-10-31,26.14
2003-11-28,25.71
2003-12-31,27.37
2004-01-30,27.65
2004-02-27,26.53
2004-03-31,24.93
2004-04-30,26.13
2004-05-28,26.23
2004-06-30,28.56
2004-07-30,28.49
2004-08-31,27.3
2004-09-30,27.65
2004-10-29,27.97
2004-11-30,26.81
2004-12-31,26.72
2005-01-31,26.28
2005-02-28,25.16
2005-03-31,24.17
2005-04-29,25.3
2005-05-31,25.8
2005-06-30,24.84
2005-07-29,25.61
2005-08-31,27.38
2005-09-30,25.73
2005-10-31,25.7
2005-11-30,27.68
2005-12-30,26.15
2006-01-31,28.15
2006-02-28,26.87
2006-03-31,27.21
2006-04-28,24.15
2006-05-31,22.65
2006-06-30,23.3
2006-07-31,24.06
2006-08-31,25.7
2006-09-29,27.35
2006-10-31,28.71
2006-11-30,29.36
2006-12-29,29.86
2007-01-31,30.86
2007-02-28,28.17
2007-03-30,27.87
2007-04-30,29.94
2007-05-31,30.6901
2007-06-29,29.47
2007-07-31,28.99
2007-08-31,28.73
2007-09-28,29.46
2007-10-31,36.81
2007-11-30,33.6
2007-12-31,35.6
2008-01-31,32.6
2008-02-29,27.1999
2008-03-31,28.38
2008-04-30,28.52
2008-05-30,28.32
2008-06-30,27.51
2008-07-31,25.72
2008-08-29,27.29
2008-09-30,26.69
2008-10-31,22.33
2008-11-28,20.22
2008-12-31,19.44
2009-01-30,17.1
2009-02-27,16.15
2009-03-31,18.37
2009-04-30,20.26
2009-05-29,20.89
2009-06-30,23.77
2009-07-31,23.52
2009-08-31,24.65
2009-09-30,25.72
2009-10-30,27.73
2009-11-30,29.41
2009-12-31,30.48
2010-01-29,28.18
2010-02-26,28.67
2010-03-31,29.2875
2010-04-30,30.535
2010-05-28,25.8
2010-06-30,23.01
2010-07-30,25.81
2010-08-31,23.465
2010-09-30,24.49
2010-10-29,26.665
2010-11-30,25.2575
2010-12-31,27.91
2011-01-31,27.725
2011-02-28,26.58
2011-03-31,25.39
2011-04-29,25.92
2011-05-31,25.01
2011-06-30,26.0
2011-07-29,27.4
2011-08-31,26.6
2011-09-30,24.89
2011-10-31,26.63
2011-11-30,25.58
2011-12-30,25.96
2012-01-31,29.53
2012-02-29,31.74
2012-03-30,32.255
2012-04-30,32.015
2012-05-31,29.19
2012-06-29,30.59
2012-07-31,29.47
2012-08-31,30.82
2012-09-28,29.76
2012-10-31,28.54
2012-11-30,26.615
2012-12-31,26.7097
2013-01-31,27.45
2013-02-28,27.8
2013-03-28,28.605
2013-04-30,33.1
2013-05-31,34.9
2013-06-28,34.545
2013-07-31,31.84
2013-08-30,33.4
2013-09-30,33.28
2013-10-31,35.405
2013-11-29,38.13
2013-12-31,37.41
2014-01-31,37.84
2014-02-28,38.31
2014-03-31,40.99
2014-04-30,40.4
2014-05-30,40.94
2014-06-30,41.7
2014-07-31,43.16
2014-08-29,45.43
2014-09-30,46.36
2014-10-31,46.95
2014-11-28,47.81
2014-12-31,46.45
2015-01-30,40.4
2015-02-27,43.85
2015-03-31,40.655
2015-04-30,48.64
2015-05-29,46.86
2015-06-30,44.15
2015-07-31,46.7
2015-08-31,43.52
2015-09-30,44.26
2015-10-30,52.64
2015-11-30,54.35
2015-12-31,55.48
2016-01-29,55.09
2016-02-29,50.88
2016-03-31,55.23
2016-04-29,49.87
2016-05-31,53.0
2016-06-30,51.17
2016-07-29,56.68
2016-08-31,57.46
2016-09-30,57.6
2016-10-31,59.92
2016-11-30,60.26
2016-12-30,62.14
2017-01-31,64.65
2017-02-28,63.98
2017-03-31,65.86
2017-04-28,68.46
2017-05-31,69.84
2017-06-30,68.93
2017-07-31,72.7
2017-08-31,74.77
2017-09-29,74.49
2017-10-31,83.18
2017-11-30,84.17
2017-12-29,85.54
2018-01-31,95.01
2018-02-28,93.77
2018-03-29,91.27
2018-04-30,93.52
2018-05-31,98.84
2018-06-29,98.61
2018-07-31,106.08
2018-08-31,112.33
2018-09-28,114.37
2018-10-31,106.81
2018-11-30,110.89
2018-12-31,101.57
2019-01-31,104.43
2019-02-28,112.03
2019-03-29,117.94
2019-04-30,130.6
2019-05-31,123.68
2019-06-28,133.96
2019-07-31,136.27
2019-08-30,137.86
2019-09-30,139.03
2019-10-31,143.37
2019-11-29,151.38
2019-12-31,157.7
2020-01-31,170.23
2020-02-28,162.01
2020-03-31,157.71
2020-04-30,179.21
2020-05-29,183.25
2020-06-12,187.74
