,Value
2000-08-21,1193.88
2000-09-27,1300.17
2000-11-28,1101.0699
2001-03-02,954.78
2001-05-29,1003.96
2001-06-11,1013.18
2001-07-02,989.92
2001-11-13,889.25
2001-12-24,923.16
2002-01-22,804.75
2002-03-26,785.92
2002-05-07,574.86
2002-06-13,481.76
2002-11-21,559.46
2003-01-08,496.05
2003-03-19,515.43
2003-04-23,558.98
2003-06-17,741.51
2003-07-11,730.07
2003-08-13,683.49
2003-10-22,699.99
2003-11-21,668.73
2003-12-22,709.16
2004-01-21,785.21
2004-02-10,791.92
2004-03-30,780.52
2004-04-14,787.53
2004-05-17,748.54
2004-06-08,756.63
2004-08-13,633.64
2004-09-30,714.56
2004-10-27,691.19
2004-11-24,716.66
2005-01-20,729.65
2005-02-22,704.26
2005-03-17,662.51
2005-04-07,669.72
2005-06-09,665.56
2005-07-14,745.26
2005-10-12,719.14
2005-11-29,780.49
2005-12-16,784.05
2006-02-21,834.62
2006-03-15,857.92
2006-04-26,780.42
2006-05-10,779.21
2006-06-30,742.87
2006-07-13,715.82
2006-09-06,739.68
2006-10-27,809.85
2006-11-10,818.51
2007-02-23,826.56
2007-05-30,831.61
2007-06-18,826.99
2007-07-17,817.78
2007-08-28,788.67
2007-09-19,847.9
2007-10-30,883.19
2007-11-15,17.51
2007-12-06,881.59
2008-03-25,778.15
2008-04-28,24.8
2008-05-16,25.02
2008-06-24,30.51
2008-07-24,23.64
2008-09-12,864.46
2008-10-23,12.1
2009-01-22,712.53
2009-03-17,677.36
2009-04-23,653.15
2009-05-13,672.0
2009-06-29,752.94
2009-07-23,791.67
2009-10-06,822.19
2009-11-11,814.38
2010-01-29,860.14
2010-02-26,878.86
2010-03-31,939.02
2010-04-30,940.8
2010-05-28,837.68
2010-06-30,799.94
2010-07-30,836.01
2010-08-31,812.13
2010-09-30,895.33
2010-10-29,927.63
2010-11-30,907.54
2010-12-31,970.17
2011-01-31,974.12
2011-02-28,983.53
2011-03-31,1040.83
2011-04-29,1117.17
2011-05-31,1135.35
2011-06-30,1108.4
2011-07-29,1080.61
2011-08-31,1000.2
2011-09-30,969.64
2011-10-31,1020.64
2011-11-30,1063.1801
2011-12-30,1084.72
2012-01-31,1206.4
2012-02-29,1237.09
2012-03-30,1281.11
2012-04-30,1302.0
2012-05-31,1280.55
2012-06-29,1351.63
2012-07-31,1391.48
2012-08-31,1417.41
2012-09-28,1486.16
2012-10-31,1375.49
2012-11-30,1446.16
2012-12-31,1430.8101
2013-01-31,1519.8199
2013-02-28,1540.96
2013-03-28,1669.28
2013-04-30,1798.38
2013-05-31,1872.09
2013-06-28,1813.15
2013-07-31,2065.8101
2013-08-30,2022.8199
2013-09-30,2188.9199
2013-10-31,2143.9299
2013-11-29,2340.0
2013-12-31,2369.53
2014-01-31,2568.79
2014-02-28,2764.8601
2014-03-31,2468.8899
2014-04-30,2402.3799
2014-05-30,2503.6201
2014-06-30,2686.4099
2014-07-31,2623.54
2014-08-29,2892.71
2014-09-30,2859.1201
2014-10-31,3102.73
2014-11-28,3179.6399
2014-12-31,3177.52
2015-01-30,3364.8501
2015-02-27,3529.71
2015-03-31,3597.1899
2015-04-30,3498.4399
2015-05-29,3821.6799
2015-06-30,3864.6799
2015-07-31,4003.21
2015-08-31,3579.5
2015-09-30,3169.1299
2015-10-30,3410.3601
2015-11-30,3498.1201
2015-12-31,3540.4399
2016-01-29,2796.47
2016-02-29,2660.1699
2016-03-31,2727.02
2016-04-29,2805.3501
2016-05-31,2923.78
2016-06-30,2693.47
2016-07-29,3028.3701
2016-08-31,2938.27
2016-09-30,3027.1499
2016-10-31,2682.5601
2016-11-30,2864.55
2016-12-30,2772.73
2017-01-31,2910.21
2017-02-28,3107.72
2017-03-31,3069.3501
2017-04-28,3114.6699
2017-05-31,2991.6101
2017-06-30,3245.6499
2017-07-31,3339.8601
2017-08-31,3491.03
2017-09-29,3493.01
2017-10-31,3290.05
2017-11-30,3307.8501
2017-12-29,3356.6101
2018-01-31,3590.24
2018-02-28,3397.95
2018-03-29,3354.3999
2018-04-30,3254.8501
2018-05-31,3407.3799
2018-06-29,3453.4299
2018-07-31,3666.3799
2018-08-31,3842.6599
2018-09-28,3835.46
2018-10-31,3275.6599
2018-11-30,3429.3401
2018-12-31,3043.6201
2019-01-31,3451.3601
2019-02-26,3537.6201
2019-03-25,3404.8401
2019-04-30,3343.0
2019-05-31,3139.23
2019-06-07,3260.6799
2019-10-09,3070.51
2020-02-28,3585.27
2020-03-31,3392.27
2020-04-30,3900.0601
2020-05-29,4229.5698
2020-06-11,3993.1699
