,Value
2000-07-31,43.75
2000-08-31,39.58
2000-09-29,40.06
2000-10-31,39.94
2000-11-30,42.63
2000-12-29,55.81
2001-01-31,55.02
2001-02-28,39.05
2001-03-30,40.55
2001-04-30,41.81
2001-05-31,41.1
2001-06-29,41.99
2001-07-31,47.55
2001-08-31,50.0
2001-09-28,46.81
2001-10-31,49.36
2001-11-30,52.99
2001-12-31,56.24
2002-01-31,59.91
2002-02-28,58.86
2002-03-28,60.01
2002-04-30,53.33
2002-05-31,53.75
2002-06-28,53.65
2002-07-31,49.29
2002-08-30,43.18
2002-09-30,43.18
2002-10-31,47.19
2002-11-29,44.78
2002-12-31,44.47
2003-01-31,44.54
2003-02-28,46.37
2003-03-31,51.42
2003-04-30,53.53
2003-05-30,55.99
2003-06-30,53.49
2003-07-31,51.74
2003-08-29,56.98
2003-09-30,60.82
2003-10-31,63.9
2003-11-28,67.25
2003-12-31,68.46
2004-01-30,69.66
2004-02-27,73.25
2004-03-31,77.87
2004-04-30,71.95
2004-05-28,71.15
2004-06-30,75.75
2004-07-30,72.71
2004-08-31,75.31
2004-09-30,78.8
2004-10-29,81.31
2004-11-30,84.66
2004-12-31,90.69
2005-01-31,86.63
2005-02-28,86.95
2005-03-31,83.31
2005-04-29,76.81
2005-05-31,82.2
2005-06-30,86.6
2005-07-29,83.8
2005-08-31,78.91
2005-09-30,81.68
2005-10-31,84.05
2005-11-30,85.3
2005-12-30,86.79
2006-01-31,80.95
2006-02-28,86.78
2006-03-31,85.1
2006-04-28,81.84
2006-05-31,80.31
2006-06-30,81.0
2006-07-31,79.0
2006-08-31,80.76
2006-09-29,87.62
2006-10-31,91.88
2006-11-30,98.95
2006-12-29,99.03
2007-01-31,98.81
2007-02-28,104.47
2007-03-30,106.26
2007-04-30,53.86
2007-05-31,56.75
2007-06-29,58.29
2007-07-31,56.45
2007-08-31,56.34
2007-09-28,58.66
2007-10-31,66.26
2007-11-30,65.65
2007-12-31,64.24
2008-01-31,61.33
2008-02-29,60.2
2008-03-31,68.0
2008-04-30,66.8
2008-05-30,68.37
2008-06-30,59.61
2008-07-31,58.68
2008-08-29,60.61
2008-09-30,66.9
2008-10-31,57.63
2008-11-28,53.25
2008-12-31,51.0
2009-01-30,45.25
2009-02-27,41.53
2009-03-31,46.89
2009-04-30,52.47
2009-05-29,57.05
2009-06-30,51.78
2009-07-31,56.64
2009-08-31,55.39
2009-09-30,64.7
2009-10-30,62.18
2009-11-30,64.89
2009-12-31,66.07
2010-01-29,63.75
2010-02-26,67.6
2010-03-31,73.5
2010-04-30,75.91
2010-05-28,72.38
2010-06-30,67.55
2010-07-30,73.64
2010-08-31,70.0
2010-09-30,80.14
2010-10-29,81.44
2010-11-30,86.13
2010-12-31,85.42
2011-01-31,82.48
2011-02-28,89.03
2011-03-31,75.7
2011-04-29,82.32
2011-05-31,84.45
2011-06-30,89.98
2011-07-29,90.15
2011-08-31,86.65
2011-09-30,85.51
2011-10-31,96.35
2011-11-30,96.18
2011-12-30,96.37
2012-01-31,103.99
2012-02-29,107.92
2012-03-30,108.44
2012-04-30,111.87
2012-05-31,108.18
2012-06-29,87.78
2012-07-31,93.35
2012-08-31,97.36
2012-09-28,94.91
2012-10-31,91.38
2012-11-30,97.48
2012-12-31,51.6
2013-01-31,54.05
2013-02-28,54.46
2013-03-28,59.01
2013-04-30,63.6
2013-05-31,61.66
2013-06-28,63.68
2013-07-31,62.92
2013-08-30,62.82
2013-09-30,72.64
2013-10-31,75.76
2013-11-29,79.14
2013-12-31,78.64
2014-01-31,72.85
2014-02-28,78.3
2014-03-31,73.86
2014-04-30,72.95
2014-05-30,76.91
2014-06-30,77.55
2014-07-31,77.13
2014-08-29,78.55
2014-09-30,89.2
2014-10-31,92.97
2014-11-28,99.29
2014-12-31,96.15
2015-01-30,92.25
2015-02-27,97.12
2015-03-31,100.33
2015-04-30,98.84
2015-05-29,101.67
2015-06-30,108.02
2015-07-31,115.22
2015-08-31,111.75
2015-09-30,122.97
2015-10-30,131.03
2015-11-30,132.28
2015-12-31,62.5
2016-01-29,62.01
2016-02-29,61.59
2016-03-31,61.47
2016-04-29,58.94
2016-05-31,55.22
2016-06-30,55.2
2016-07-29,55.5
2016-08-31,57.65
2016-09-30,52.65
2016-10-31,50.18
2016-11-30,50.07
2016-12-30,50.83
2017-01-31,52.9
2017-02-28,57.16
2017-03-31,55.73
2017-04-28,55.41
2017-05-31,52.99
2017-06-30,59.0
2017-07-31,59.05
2017-08-31,52.81
2017-09-29,51.85
2017-10-31,54.99
2017-11-30,60.42
2017-12-29,62.55
2018-01-31,68.22
2018-02-28,67.03
2018-03-29,66.44
2018-04-30,68.39
2018-05-31,71.8
2018-06-29,79.68
2018-07-31,76.91
2018-08-31,82.2
2018-09-28,84.72
2018-10-31,75.04
2018-11-30,75.12
2018-12-31,74.14
2019-01-31,81.88
2019-02-28,85.73
2019-03-29,84.21
2019-04-30,87.83
2019-05-31,77.14
2019-06-28,83.95
2019-07-31,86.03
2019-08-30,84.5
2019-09-30,93.92
2019-10-31,89.55
2019-11-29,93.49
2019-12-31,101.31
2020-01-31,96.3
2020-02-28,89.38
2020-03-31,82.74
2020-04-30,87.18
2020-05-29,98.58
2020-06-12,96.43
