,Value
2015-08-31,35.0
2015-09-30,31.04
2015-10-30,36.01
2015-11-30,35.26
2015-12-31,36.2
2016-01-29,36.14
2016-02-29,38.14
2016-03-31,38.6
2016-04-29,39.18
2016-05-31,37.79
2016-06-30,36.51
2016-07-29,37.24
2016-08-31,37.15
2016-09-30,40.97
2016-10-31,41.66
2016-11-30,39.28
2016-12-30,39.47
2017-01-31,39.78
2017-02-28,42.0
2017-03-31,43.02
2017-04-28,47.72
2017-05-31,52.21
2017-06-30,53.67
2017-07-31,58.55
2017-08-31,61.68
2017-09-29,64.03
2017-10-31,72.56
2017-11-30,75.73
2017-12-29,73.62
2018-01-31,85.32
2018-02-28,79.41
2018-03-29,75.87
2018-04-30,74.61
2018-05-31,82.07
2018-06-29,83.27
2018-07-31,82.14
2018-08-31,92.33
2018-09-28,87.84
2018-10-31,84.19
2018-11-30,85.81
2018-12-31,84.09
2019-01-31,88.76
2019-02-28,98.07
2019-03-29,103.84
2019-04-30,112.77
2019-05-31,109.75
2019-06-28,114.46
2019-07-31,110.4
2019-08-30,109.05
2019-09-30,103.59
2019-10-31,104.1
2019-11-29,108.01
2019-12-31,108.17
2020-01-31,113.89
2020-02-28,107.99
2020-03-31,95.74
2020-04-30,123.0
2020-05-29,155.01
2020-06-12,155.26
