,Value
2010-07-30,19.94
2010-08-31,19.48
2010-09-30,20.405
2010-10-29,21.84
2010-11-30,35.33
2010-12-31,26.63
2011-01-31,24.1
2011-02-28,23.89
2011-03-31,27.75
2011-04-29,27.6
2011-05-31,30.14
2011-06-30,29.13
2011-07-29,28.17
2011-08-31,24.74
2011-09-30,24.39
2011-10-31,29.37
2011-11-30,32.74
2011-12-30,28.56
2012-01-31,29.07
2012-02-29,33.41
2012-03-30,37.24
2012-04-30,33.13
2012-05-31,29.5
2012-06-29,31.29
2012-07-31,27.42
2012-08-31,28.52
2012-09-28,29.28
2012-10-31,28.1314
2012-11-30,33.82
2012-12-31,33.87
2013-01-31,37.51
2013-02-28,34.83
2013-03-28,37.89
2013-04-30,53.99
2013-05-31,97.76
2013-06-28,107.36
2013-07-31,134.28
2013-08-30,169.0
2013-09-30,193.37
2013-10-31,159.94
2013-11-29,127.28
2013-12-31,150.429
2014-01-31,181.41
2014-02-28,244.81
2014-03-31,208.45
2014-04-30,207.89
2014-05-30,207.77
2014-06-30,240.06
2014-07-31,223.3
2014-08-29,269.7
2014-09-30,242.68
2014-10-31,241.7
2014-11-28,244.52
2014-12-31,222.41
2015-01-30,203.6
2015-02-27,203.34
2015-03-31,188.77
2015-04-30,226.05
2015-05-29,250.8
2015-06-30,268.26
2015-07-31,266.15
2015-08-31,249.06
2015-09-30,248.4
2015-10-30,206.93
2015-11-30,230.26
2015-12-31,240.01
2016-01-29,191.2
2016-02-29,191.93
2016-03-31,229.77
2016-04-29,240.76
2016-05-31,223.23
2016-06-30,212.28
2016-07-29,234.79
2016-08-31,212.01
2016-09-30,204.03
2016-10-31,197.73
2016-11-30,189.4
2016-12-30,213.69
2017-01-31,251.93
2017-02-28,249.99
2017-03-31,278.3
2017-04-28,314.07
2017-05-31,341.01
2017-06-30,361.61
2017-07-31,323.47
2017-08-31,355.9
2017-09-29,341.1
2017-10-31,331.53
2017-11-30,308.85
2017-12-29,311.35
2018-01-31,354.31
2018-02-28,343.06
2018-03-29,266.13
2018-04-30,293.9
2018-05-31,284.73
2018-06-29,342.95
2018-07-31,298.14
2018-08-31,301.66
2018-09-28,264.77
2018-10-31,337.32
2018-11-30,350.48
2018-12-31,332.8
2019-01-31,307.02
2019-02-28,319.88
2019-03-29,279.86
2019-04-30,238.69
2019-05-31,185.16
2019-06-28,223.46
2019-07-31,241.61
2019-08-30,225.61
2019-09-30,240.87
2019-10-31,314.92
2019-11-29,329.94
2019-12-31,418.33
2020-01-31,650.57
2020-02-28,667.99
2020-03-31,524.0
2020-04-30,781.88
2020-05-29,835.0
2020-06-12,935.28
