,Value
2008-04-30,83.45
2008-05-30,86.36
2008-06-30,81.31
2008-07-31,73.06
2008-08-29,75.9
2008-09-30,61.39
2008-10-31,55.35
2008-11-28,52.56
2008-12-31,52.45
2009-01-30,49.35
2009-02-27,56.71
2009-03-31,55.6
2009-04-30,64.96
2009-05-29,67.71
2009-06-30,62.26
2009-07-31,65.46
2009-08-31,71.1
2009-09-30,69.11
2009-10-30,75.76
2009-11-30,81.0
2009-12-31,87.46
2010-01-29,82.03
2010-02-26,85.28
2010-03-31,91.03
2010-04-30,90.23
2010-05-28,72.46
2010-06-30,70.75
2010-07-30,73.35
2010-08-31,68.98
2010-09-30,74.26
2010-10-29,78.16
2010-11-30,73.85
2010-12-31,70.38
2011-01-31,69.85
2011-02-28,73.05
2011-03-31,73.62
2011-04-29,78.12
2011-05-31,81.06
2011-06-30,84.26
2011-07-29,85.54
2011-08-31,87.88
2011-09-30,85.72
2011-10-31,93.26
2011-11-30,96.97
2011-12-30,101.53
2012-01-31,100.64
2012-02-29,116.37
2012-03-30,118.0
2012-04-30,122.98
2012-05-31,115.2
2012-06-29,123.63
2012-07-31,129.07
2012-08-31,128.25
2012-09-28,134.28
2012-10-31,138.76
2012-11-30,149.71
2012-12-31,151.58
2013-01-31,157.91
2013-02-28,158.64
2013-03-28,169.84
2013-04-30,168.46
2013-05-31,178.14
2013-06-28,182.75
2013-07-31,177.01
2013-08-30,174.42
2013-09-30,191.1
2013-10-31,196.67
2013-11-29,203.46
2013-12-31,222.68
2014-01-31,215.43
2014-02-28,225.94
2014-03-31,215.86
2014-04-30,202.61
2014-05-30,214.83
2014-06-30,210.71
2014-07-31,211.01
2014-08-29,212.52
2014-09-30,213.37
2014-10-31,241.43
2014-11-28,258.19
2014-12-31,262.2
2015-01-30,254.91
2015-02-27,271.31
2015-03-31,65.41
2015-04-30,66.05
2015-05-29,68.68
2015-06-30,67.15
2015-07-31,75.34
2015-08-31,71.3
2015-09-30,69.66
2015-10-30,77.58
2015-11-30,79.01
2015-12-31,77.55
2016-01-29,74.49
2016-02-29,72.39
2016-03-31,76.48
2016-04-29,77.24
2016-05-31,78.94
2016-06-30,74.17
2016-07-29,78.05
2016-08-31,80.9
2016-09-30,82.7
2016-10-31,82.51
2016-11-30,77.32
2016-12-30,78.02
2017-01-31,82.71
2017-02-28,87.94
2017-03-31,88.87
2017-04-28,91.22
2017-05-31,95.23
2017-06-30,93.78
2017-07-31,99.56
2017-08-31,103.52
2017-09-29,105.24
2017-10-31,109.98
2017-11-30,112.59
2017-12-29,114.02
2018-01-31,124.23
2018-02-28,122.94
2018-03-29,119.62
2018-04-30,126.88
2018-05-31,130.72
2018-06-29,132.45
2018-07-31,136.74
2018-08-31,146.89
2018-09-28,150.09
2018-10-31,137.85
2018-11-30,141.71
2018-12-31,131.94
2019-01-31,135.01
2019-02-28,148.12
2019-03-29,156.19
2019-04-30,164.43
2019-05-31,161.33
2019-06-28,173.55
2019-07-31,178.0
2019-08-30,180.82
2019-09-30,172.01
2019-10-31,178.86
2019-11-29,184.51
2019-12-31,187.9
2020-01-31,198.97
2020-02-28,181.76
2020-03-31,161.12
2020-04-30,178.72
2020-05-29,195.24
2020-06-12,192.26
