,Value
2006-11-30,22.8
2006-12-29,22.42
2007-01-31,22.34
2007-02-28,21.67
2007-03-30,21.95
2007-04-30,21.05
2007-05-31,22.45
2007-06-29,20.83
2007-07-31,19.95
2007-08-31,18.83
2007-09-28,20.97
2007-10-31,22.04
2007-11-30,22.6
2007-12-31,24.28
2008-01-31,22.4
2008-02-29,20.8
2008-03-31,21.27
2008-04-30,23.0
2008-05-30,23.64
2008-06-30,24.72
2008-07-31,27.64
2008-08-29,27.62
2008-09-30,24.67
2008-10-31,15.26
2008-11-28,13.27
2008-12-31,14.34
2009-01-30,13.66
2009-02-27,11.16
2009-03-31,12.57
2009-04-30,16.75
2009-05-29,17.63
2009-06-30,16.4
2009-07-31,17.48
2009-08-31,18.04
2009-09-30,18.92
2009-10-30,18.17
2009-11-30,18.45
2009-12-31,18.85
2010-01-29,18.54
2010-02-26,15.78
2010-03-31,16.96
2010-04-30,18.25
2010-05-28,15.96
2010-06-30,14.91
2010-07-30,16.23
2010-08-31,15.68
2010-09-30,17.67
2010-10-29,17.59
2010-11-30,17.64
2010-12-31,18.57
2011-01-31,20.28
2011-02-28,21.99
2011-03-31,20.77
2011-04-29,21.25
2011-05-31,20.56
2011-06-30,20.03
2011-07-29,19.41
2011-08-31,16.52
2011-09-30,15.29
2011-10-31,17.47
2011-11-30,17.44
2011-12-30,18.26
2012-01-31,19.1
2012-02-29,17.47
2012-03-30,17.6
2012-04-30,18.38
2012-05-31,16.4
2012-06-29,16.84
2012-07-31,17.43
2012-08-31,17.61
2012-09-28,18.22
2012-10-31,12.7289
2012-11-30,12.61
2012-12-31,13.61
2013-01-31,14.23
2013-02-28,14.03
2013-03-28,15.04
2013-04-30,14.81
2013-05-31,16.38
2013-06-28,17.11
2013-07-31,17.96
2013-08-30,17.53
2013-09-30,18.66
2013-10-31,17.02
2013-11-29,16.67
2013-12-31,17.25
2014-01-31,15.4
2014-02-28,16.73
2014-03-31,16.36
2014-04-30,15.87
2014-05-30,16.17
2014-06-30,17.34
2014-07-31,17.47
2014-08-29,17.47
2014-09-30,16.04
2014-10-31,16.96
2014-11-28,18.58
2014-12-31,17.91
2015-01-30,17.0
2015-02-27,19.52
2015-03-31,20.81
2015-04-30,20.28
2015-05-29,21.95
2015-06-30,20.33
2015-07-31,20.24
2015-08-31,18.44
2015-09-30,18.36
2015-10-30,19.25
2015-11-30,18.86
2015-12-31,17.91
2016-01-29,17.84
2016-02-29,18.26
2016-03-31,19.29
2016-04-29,20.0
2016-05-31,19.45
2016-06-30,19.18
2016-07-29,20.0
2016-08-31,21.52
2016-09-30,20.82
2016-10-31,20.07
2016-11-30,21.03
2016-12-30,21.72
2017-01-31,19.58
2017-02-28,19.64
2017-03-31,20.35
2017-04-28,19.86
2017-05-31,19.02
2017-06-30,19.05
2017-07-31,19.75
2017-08-31,18.92
2017-09-29,19.2
2017-10-31,19.86
2017-11-30,19.69
2017-12-29,19.01
2018-01-31,20.79
2018-02-28,19.82
2018-03-29,19.23
2018-04-30,19.75
2018-05-31,19.89
2018-06-29,20.33
2018-07-31,20.16
2018-08-31,18.92
2018-09-28,19.06
2018-10-31,18.04
2018-11-30,18.73
2018-12-31,17.06
2019-01-31,18.25
2019-02-28,17.87
2019-03-29,18.47
2019-04-30,19.44
2019-05-31,19.4
2019-06-28,19.89
2019-07-31,21.0
2019-08-30,22.12
2019-09-30,23.17
2019-10-31,25.06
2019-11-29,26.88
2019-12-31,26.78
2020-01-31,26.9
2020-02-28,22.39
2020-03-31,18.13
2020-04-30,19.07
2020-05-29,20.02
2020-06-12,22.52
