,Value
2000-07-31,80.19
2000-08-31,81.64
2000-09-29,89.11
2000-10-31,89.19
2000-11-30,88.0
2000-12-29,86.94
2001-01-31,84.15
2001-02-28,81.05
2001-03-30,81.0
2001-04-30,88.6
2001-05-31,88.75
2001-06-29,87.35
2001-07-31,41.76
2001-08-31,40.15
2001-09-28,39.4
2001-10-31,39.45
2001-11-30,37.4
2001-12-31,39.3
2002-01-31,39.05
2002-02-28,41.3
2002-03-28,43.83
2002-04-30,40.17
2002-05-31,39.93
2002-06-28,40.92
2002-07-31,36.76
2002-08-30,35.45
2002-09-30,31.9
2002-10-31,33.66
2002-11-29,34.8
2002-12-31,34.94
2003-01-31,34.15
2003-02-28,34.02
2003-03-31,34.95
2003-04-30,35.2
2003-05-30,36.4
2003-06-30,35.91
2003-07-31,35.58
2003-08-29,37.7
2003-09-30,36.6
2003-10-31,36.58
2003-11-28,36.2
2003-12-31,41.0
2004-01-30,40.79
2004-02-27,42.17
2004-03-31,41.59
2004-04-30,42.55
2004-05-28,43.25
2004-06-30,44.41
2004-07-30,46.3
2004-08-31,46.1
2004-09-30,48.33
2004-10-29,49.22
2004-11-30,51.25
2004-12-31,51.26
2005-01-31,51.6
2005-02-28,63.31
2005-03-31,59.6
2005-04-29,57.03
2005-05-31,56.2
2005-06-30,57.47
2005-07-29,58.75
2005-08-31,59.9
2005-09-30,63.54
2005-10-31,56.14
2005-11-30,58.03
2005-12-30,56.17
2006-01-31,62.75
2006-02-28,59.37
2006-03-31,60.86
2006-04-28,63.08
2006-05-31,60.91
2006-06-30,61.35
2006-07-31,67.74
2006-08-31,67.67
2006-09-29,67.1
2006-10-31,71.42
2006-11-30,76.81
2006-12-29,76.63
2007-01-31,74.1
2007-02-28,71.68
2007-03-30,75.45
2007-04-30,79.38
2007-05-31,83.17
2007-06-29,83.88
2007-07-31,85.13
2007-08-31,85.73
2007-09-28,92.56
2007-10-31,91.99
2007-11-30,89.16
2007-12-31,93.69
2008-01-31,86.4
2008-02-29,87.01
2008-03-31,84.58
2008-04-30,93.07
2008-05-30,88.76
2008-06-30,88.13
2008-07-31,80.43
2008-08-29,80.01
2008-09-30,77.66
2008-10-31,74.12
2008-11-28,80.15
2008-12-31,79.83
2009-01-30,76.48
2009-02-27,67.9
2009-03-31,68.1
2009-04-30,66.67
2009-05-29,69.35
2009-06-30,69.91
2009-07-31,70.39
2009-08-31,69.15
2009-09-30,68.61
2009-10-30,71.67
2009-11-30,75.07
2009-12-31,68.19
2010-01-29,64.43
2010-02-26,65.0
2010-03-31,66.98
2010-04-30,67.77
2010-05-28,60.46
2010-06-30,57.07
2010-07-30,59.68
2010-08-31,59.11
2010-09-30,61.79
2010-10-29,66.49
2010-11-30,69.56
2010-12-31,73.12
2011-01-31,80.68
2011-02-28,85.53
2011-03-31,84.13
2011-04-29,87.98
2011-05-31,83.47
2011-06-30,81.38
2011-07-29,79.79
2011-08-31,74.02
2011-09-30,72.63
2011-10-31,78.09
2011-11-30,80.44
2011-12-30,84.76
2012-01-31,83.74
2012-02-29,86.5
2012-03-30,86.73
2012-04-30,86.34
2012-05-31,78.63
2012-06-29,85.57
2012-07-31,86.85
2012-08-31,87.3
2012-09-28,91.45
2012-10-31,91.17
2012-11-30,88.14
2012-12-31,86.55
2013-01-31,89.97
2013-02-28,89.55
2013-03-28,90.11
2013-04-30,88.99
2013-05-31,90.47
2013-06-28,90.35
2013-07-31,93.75
2013-08-30,87.16
2013-09-30,86.04
2013-10-31,89.62
2013-11-29,93.48
2013-12-31,101.2
2014-01-31,92.16
2014-02-28,96.27
2014-03-31,97.68
2014-04-30,102.41
2014-05-30,100.53
2014-06-30,100.68
2014-07-31,98.94
2014-08-29,99.46
2014-09-30,94.05
2014-10-31,96.71
2014-11-28,90.54
2014-12-31,92.45
2015-01-30,87.42
2015-02-27,88.54
2015-03-31,85.0
2015-04-30,87.37
2015-05-29,85.2
2015-06-30,83.2
2015-07-31,79.21
2015-08-31,75.24
2015-09-30,74.35
2015-10-30,82.74
2015-11-30,81.66
2015-12-31,77.95
2016-01-29,77.85
2016-02-29,80.15
2016-03-31,83.59
2016-04-29,88.4
2016-05-31,89.02
2016-06-30,93.74
2016-07-29,88.95
2016-08-31,87.14
2016-09-30,87.28
2016-10-31,83.32
2016-11-30,87.3
2016-12-30,90.26
2017-01-31,83.89
2017-02-28,81.32
2017-03-31,82.01
2017-04-28,81.65
2017-05-31,80.5
2017-06-30,80.73
2017-07-31,80.04
2017-08-31,76.33
2017-09-29,81.98
2017-10-31,83.35
2017-11-30,83.29
2017-12-29,83.64
2018-01-31,87.3
2018-02-28,75.74
2018-03-29,74.61
2018-04-30,77.75
2018-05-31,81.24
2018-06-29,82.73
2018-07-31,81.51
2018-08-31,80.17
2018-09-28,85.02
2018-10-31,79.68
2018-11-30,79.5
2018-12-31,68.19
2019-01-31,73.28
2019-02-28,79.03
2019-03-29,80.8
2019-04-30,80.28
2019-05-31,70.77
2019-06-28,76.63
2019-07-31,74.36
2019-08-30,68.48
2019-09-30,70.61
2019-10-31,67.57
2019-11-29,68.13
2019-12-31,69.78
2020-01-31,62.12
2020-02-28,51.44
2020-03-31,37.97
2020-04-30,46.47
2020-05-29,45.47
2020-06-12,47.17
