,Value
2011-06-30,35.51
2011-07-29,34.98
2011-08-31,30.97
2011-09-30,20.46
2011-10-31,27.52
2011-11-30,21.98
2011-12-30,19.7
2012-01-31,20.3401
2012-02-29,21.3
2012-03-30,26.87
2012-04-30,23.72
2012-05-31,19.93
2012-06-29,19.05
2012-07-31,19.23
2012-08-31,21.12
2012-09-28,24.15
2012-10-31,23.31
2012-11-30,21.82
2012-12-31,21.54
2013-01-31,24.21
2013-02-28,23.19
2013-03-28,23.14
2013-04-30,25.74
2013-05-31,27.16
2013-06-28,27.65
2013-07-31,32.51
2013-08-30,32.0
2013-09-30,36.42
2013-10-31,36.86
2013-11-29,39.75
2013-12-31,43.15
2014-01-31,36.75
2014-02-28,37.5
2014-03-31,30.19
2014-04-30,26.49
2014-05-30,31.14
2014-06-30,35.64
2014-07-31,30.28
2014-08-29,28.43
2014-09-30,27.795
2014-10-31,28.62
2014-11-28,24.92
2014-12-31,17.96
2015-01-30,14.89
2015-02-27,16.45
2015-03-31,15.165
2015-04-30,19.24
2015-05-29,18.03
2015-06-30,15.22
2015-07-31,13.91
2015-08-31,12.2
2015-09-30,10.73
2015-10-30,16.1
2015-11-30,16.63
2015-12-31,15.72
2016-01-29,13.42
2016-02-29,12.92
2016-03-31,15.32
2016-04-29,20.47
2016-05-31,20.6
2016-06-30,21.85
2016-07-29,21.65
2016-08-31,22.04
2016-09-30,21.05
2016-10-31,19.69
2016-11-30,19.01
2016-12-30,20.13
2017-01-31,23.14
2017-02-28,22.5
2017-03-31,21.93
2017-04-28,27.26
2017-05-31,26.48
2017-06-30,26.24
2017-07-31,28.98
2017-08-31,30.01
2017-09-29,32.95
2017-10-31,33.83
2017-11-30,33.11
2017-12-29,32.75
2018-01-31,38.73
2018-02-28,41.09
2018-03-29,39.45
2018-04-30,33.36
2018-05-31,33.52
2018-06-29,35.9
2018-07-31,35.96
2018-08-31,32.13
2018-09-28,32.89
2018-10-31,30.13
2018-11-30,29.5
2018-12-31,27.35
2019-01-31,33.58
2019-02-28,34.4
2019-03-29,34.34
2019-04-30,37.43
2019-05-31,35.92
2019-06-28,38.0
2019-07-31,39.22
2019-08-30,37.1
2019-09-30,35.01
2019-10-31,33.39
2019-11-29,41.97
2019-12-31,43.49
2020-01-31,44.81
2020-02-28,40.61
2020-03-31,34.05
2020-04-30,37.78
2020-05-29,40.23
2020-06-12,42.18
